base_project,project_path,filename,summary_human,summary_method,cosine_similarity,bert_precision,bert_recall,bert_f1
AbdurRKhalid,AbdurRKhalid/Behavioral/Observer/ConcreteObserver,EmailNotificationListener.java,The EmailNotificationListener is a concerte observer as it receives notifications about events related to file operations. It overrides the update method that sends email notifications.,"observer: EmailNotificationListener acts as an observer, which updates String parameter of eventType, File parameter of file. It is a public class that implements EventListener. The only method of EmailNotificationListener is update (void). No methods call update and update calls no methods.",0.2709293077942693,0.8746177,0.88239914,0.87849116
AbdurRKhalid,AbdurRKhalid/Behavioral/Observer/ConcreteObserver,LogOpenListener.java,The LogOpenListener is a Concrete Observer designed to log events related to file operations as it updates the logger file.,"observer: LogOpenListener acts as an observer, which updates String parameter of eventType, File parameter of file. It is a public class that implements EventListener. The only method of LogOpenListener is update (void). No methods call update and update calls no methods.",0.23833353435599763,0.85685796,0.88623756,0.87130016
AbdurRKhalid,AbdurRKhalid/Behavioral/Observer/ConcretePublisher,Editor.java,The Editor class acts as a Concrete Publisher designed to trigger notifications about file operations like opening and saving files through a notify method.,Editor does not have any design pattern.  It is a public class. The 2 methods of Editor are openFile (void) and saveFile (void). No methods call openFile and openFile calls no methods. No methods call saveFile and saveFile calls no methods.,0.083662967423446,0.8547476,0.86794627,0.86129636
AbdurRKhalid,AbdurRKhalid/Behavioral/Observer/Observer,EventListener.java,The EventListener interface defines a contract for Observers. It establishes the structure that any concrete observer (such as email or log listeners) must implement to handle event notifications from a Publisher.,"observer: EventListener acts as an observer for publisher EventManager, which is inherited by EmailNotificationListener, LogOpenListener, which updates String parameter of eventType, File parameter of file. It is a public interface. The only method of EventListener is update (void). No methods call update and update calls no methods.",0.13061769051257735,0.85240614,0.8714678,0.8618316
AbdurRKhalid,AbdurRKhalid/Behavioral/Observer/Publisher,EventManager.java,"The EventManager class acts as a Publisher, responsible for managing and notifying subscribers about specific events.","observer: EventManager acts as a publisher for observer EventListener, which is inherited by, which subscribes String parameter of eventType, EventListener parameter of listener, which unsubscribes String parameter of eventType, EventListener parameter of listener, which notifies String parameter of eventType, File parameter of file. It is a public class. The 3 methods of EventManager are subscribe (void), unsubscribe (void) and notify (void). No methods call subscribe and subscribe calls no methods. No methods call unsubscribe and unsubscribe calls no methods. No methods call notify and notify calls no methods.",0.10478719032094025,0.78967744,0.87546796,0.8303627
AbdurRKhalid,AbdurRKhalid/Behavioral/Visitor,Computer.java,"The Computer class represents a Concrete Element of Visitor, which allows operations to be performed on Mouse, Keyboard and monitor components by an external visitor.",Computer does not have any design pattern.  It is a public class that extends ComputerPart and that implements ComputerPart. The only method of Computer is accept (void). No methods call accept and accept calls 2 methods : visit method of class ComputerPartVisitor and accept method of class ComputerPart.,0.14072032416609853,0.8356923,0.8565212,0.8459785
AbdurRKhalid,AbdurRKhalid/Behavioral/Visitor,ComputerPart.java,"The ComputerPart interface defines a Component role in the Visitor and provides a contract for all concrete components like Mouse, Keyboard, Monitor, and Computer to accept a visitor, allowing external operations to be applied to them.","visitor: ComputerPart acts as an element for visitor ComputerPart, which is inherited by Monitor, Mouse, Keyboard, Computer, which accepts ComputerPartVisitor parameter of computerPartVisitor. ComputerPart acts as a visitor for element ComputerPart, which is inherited by ComputerPartDisplayVisitor, which accepts ComputerPartVisitor parameter of computerPartVisitor. It is a public interface. The only method of ComputerPart is accept (void). 2 methods ( main method of class Test and accept method of class Computer ) call accept and accept calls no methods.",0.19407314517863314,0.8387089,0.8745838,0.85627073
AbdurRKhalid,AbdurRKhalid/Behavioral/Visitor,ComputerPartDisplayVisitor.java,"The ComputerPartDisplayVisitor class implements the ComputerPartVisitor interface, serving as a Concrete Visitor. This visitor defines specific actions for displaying each ComputerPart type such as Computer, Mouse, Keyboard, Monitor.","visitor: ComputerPartDisplayVisitor acts as a visitor for element ComputerPart, which overrides, which visits Computer parameter of computer, which visits Mouse parameter of mouse, which visits Keyboard parameter of keyboard, which visits Monitor parameter of monitor. It is a public class that extends ComputerPartVisitor and that implements ComputerPartVisitor. The 4 methods of ComputerPartDisplayVisitor are visit (void), visit (void), visit (void) and visit (void). No methods call visit and visit calls no methods. No methods call visit and visit calls no methods. No methods call visit and visit calls no methods. No methods call visit and visit calls no methods.",0.1173519235988977,0.82962394,0.8879531,0.8577981
AbdurRKhalid,AbdurRKhalid/Behavioral/Visitor,ComputerPartVisitor.java,"The ComputerPartVisitor is an interface of Visitor role, specifying a set of operations that can be performed on each type of ComputerPart element that are Computer, Mouse, Keyboard, Monitor.","ComputerPartVisitor does not have any design pattern.  It is a public interface. The 4 methods of ComputerPartVisitor are visit (void), visit (void), visit (void) and visit (void). 4 methods ( accept method of class Keyboard, accept method of class Mouse, accept method of class Monitor and accept method of class Computer ) call visit and visit calls no methods. 4 methods ( accept method of class Keyboard, accept method of class Mouse, accept method of class Monitor and accept method of class Computer ) call visit and visit calls no methods. 4 methods ( accept method of class Keyboard, accept method of class Mouse, accept method of class Monitor and accept method of class Computer ) call visit and visit calls no methods. 4 methods ( accept method of class Keyboard, accept method of class Mouse, accept method of class Monitor and accept method of class Computer ) call visit and visit calls no methods.",0.19470473168923616,0.78160805,0.8647417,0.821076
AbdurRKhalid,AbdurRKhalid/Behavioral/Visitor,Keyboard.java,"The Keyboard class is a Concrete Element, implementing the ComputerPart interface to accept a visitor.",Keyboard does not have any design pattern.  It is a public class that extends ComputerPart and that implements ComputerPart. The only method of Keyboard is accept (void). No methods call accept and accept calls only one method : visit method of class ComputerPartVisitor.,0.270288077280668,0.85215133,0.8773429,0.86456364
AbdurRKhalid,AbdurRKhalid/Behavioral/Visitor,Monitor.java,The Monitor class is a Concrete Element implementing the ComputerPart interface to allow operations from a visitor.,Monitor does not have any design pattern.  It is a public class that extends ComputerPart and that implements ComputerPart. The only method of Monitor is accept (void). No methods call accept and accept calls only one method : visit method of class ComputerPartVisitor.,0.18001018199016258,0.8484508,0.8649615,0.8566266
AbdurRKhalid,AbdurRKhalid/Behavioral/Visitor,Mouse.java,The Mouse class is a Concrete Element implementing the ComputerPart interface to support visitor operations.,Mouse does not have any design pattern.  It is a public class that extends ComputerPart and that implements ComputerPart. The only method of Mouse is accept (void). No methods call accept and accept calls only one method : visit method of class ComputerPartVisitor.,0.18733066291112405,0.85244226,0.87154627,0.8618884
AbdurRKhalid,AbdurRKhalid/Behavioral/Visitor,Test.java,The Test class serves as a Client demonstrating the use of the pattern by applying a visitor to a Computer component.,Test does not have any design pattern.  It is a public class. The only method of Test is main (void). No methods call main and main calls only one method : paint method of class Application.,0.17232602606804936,0.8440126,0.87333715,0.85842454
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/AbstractFactory,GUIFactory.java,The GUIFactory interface defines an Abstract Factory setting the framework for creating families of related GUI products without specifying concrete classes.,"abstract_factory: GUIFactory acts as an abstract factory for Button, CheckBox, which is inherited by WindowsOSFactory, MacOSFactory. It is a public interface. The 2 methods of GUIFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.   memento: GUIFactory acts as an originator for memento Button, which is inherited by, which creates a Button Button to. GUIFactory acts as an originator for memento CheckBox, which is inherited by, which creates a CheckBox Check Box to. It is a public interface. The 2 methods of GUIFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.   factory_method: GUIFactory acts as a factory for WindowsOSFactory, which overrides. It is a public interface. The 2 methods of GUIFactory are...",0.14070543272360228,0.78116715,0.8431114,0.81095815
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/Client,Application.java,"The Application class acts as a Client in the Abstract Factory design pattern, using a GUIFactory to create and manage related GUI components.","memento: Application acts as a caretaker for memento CheckBox, which paints. Application acts as a caretaker for memento Button, which paints. It is a public class. The only method of Application is paint (void). Only one method ( main method of class Test ) calls paint and paint calls no methods.",0.15704049412709206,0.83722955,0.8549081,0.8459765
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/ConcreteFactory,MacOSFactory.java,"The MacOSFactory class is a Concrete Factory, implementing the GUIFactory interface to create MacOS specific GUI components.","abstract_factory: MacOSFactory acts as a factory for GUIFactory, which overrides createButton method of GUIFactory, createCheckBox method of GUIFactory. It is a public class that implements GUIFactory. The 2 methods of MacOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.   memento: MacOSFactory acts as an originator for memento Button, which creates a Button Button to. MacOSFactory acts as an originator for memento CheckBox, which creates a CheckBox Check Box to. It is a public class that implements GUIFactory. The 2 methods of MacOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.",0.13077562206341853,0.8017303,0.87290394,0.83580464
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/ConcreteFactory,WindowsOSFactory.java,"The WindowOSFactory class is a Concrete Factory, implementing the GUIFactory interface to create Windows OS specific GUI components.","abstract_factory: WindowsOSFactory acts as a factory for GUIFactory, which overrides createButton method of GUIFactory, createCheckBox method of GUIFactory. It is a public class that implements GUIFactory. The 2 methods of WindowsOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.   memento: WindowsOSFactory acts as an originator for memento CheckBox, which creates a CheckBox Check Box to. WindowsOSFactory acts as an originator for memento Button, which creates a Button Button to. It is a public class that implements GUIFactory. The 2 methods of WindowsOSFactory are createButton (Button) and createCheckBox (CheckBox). No methods call createButton and createButton calls no methods. No methods call createCheckBox and createCheckBox calls no methods.   factory_method: WindowsOSFactory acts as a factory method for CheckBox, which is inherited by...",0.09931783604929041,0.79760456,0.86423784,0.8295854
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/Products,Button.java,Button is a product interface in Abstract Factory having a paint method,"abstract_factory: Button acts as an abstract product for Button, which is inherited by WindowsButton, MacOSButton. It is a public interface. The only method of Button is paint (void). No methods call paint and paint calls no methods.   memento: Button acts as a memento, which is inherited by WindowsButton, MacOSButton, which paints. It is a public interface. The only method of Button is paint (void). No methods call paint and paint calls no methods.",0.3563346997840995,0.80341667,0.8531398,0.82753205
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/Products,CheckBox.java,Checkbox is a product interface in Abstract Factory having a paint method,"abstract_factory: CheckBox acts as an abstract product for CheckBox, which is inherited by WindowsCheckBox, MacOSCheckBox. It is a public interface. The only method of CheckBox is paint (void). No methods call paint and paint calls no methods.   memento: CheckBox acts as a memento, which is inherited by WindowsCheckBox, MacOSCheckBox, which paints. It is a public interface. The only method of CheckBox is paint (void). No methods call paint and paint calls no methods.   factory_method: CheckBox acts as an abstract product for WindowsOSFactory, which is inherited by WindowsCheckBox, MacOSCheckBox. It is a public interface. The only method of CheckBox is paint (void). No methods call paint and paint calls no methods.",0.3655787474805765,0.7825581,0.8469498,0.8134817
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/Products,MacOSButton.java,The MacOSButton class is a Concrete Product implementing the Button interface to provide a specific version of a button tailored for the MacOS platform.,"abstract_factory: MacOSButton acts as a product for GUIFactory, which overrides paint method of Button. It is a public class that implements Button. The only method of MacOSButton is paint (void). No methods call paint and paint calls no methods.   memento: MacOSButton acts as a memento, which paints. It is a public class that implements Button. The only method of MacOSButton is paint (void). No methods call paint and paint calls no methods.",0.2323652397525413,0.8229107,0.8573173,0.83976173
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/Products,MacOSCheckBox.java,The MacOSCheckBox class is a Concrete Product implementing the Checkbox interface to provide a specific version of a checkbox tailored for the MacOS platform.,"abstract_factory: MacOSCheckBox acts as a product for GUIFactory, which overrides paint method of CheckBox. It is a public class that implements CheckBox. The only method of MacOSCheckBox is paint (void). No methods call paint and paint calls no methods.   memento: MacOSCheckBox acts as a memento, which paints. It is a public class that implements CheckBox. The only method of MacOSCheckBox is paint (void). No methods call paint and paint calls no methods.   factory_method: MacOSCheckBox acts as a product for WindowsOSFactory, which overrides paint method of CheckBox. It is a public class that implements CheckBox. The only method of MacOSCheckBox is paint (void). No methods call paint and paint calls no methods.",0.241564749532561,0.8081717,0.8521404,0.8295738
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/Products,WindowsButton.java,The Windows Button class is a Concrete Product implementing the Button interface to provide a specific version of a button tailored for the Windows platform.,"abstract_factory: WindowsButton acts as a product for GUIFactory, which overrides paint method of Button. It is a public class that implements Button. The only method of WindowsButton is paint (void). No methods call paint and paint calls no methods.   memento: WindowsButton acts as a memento, which paints. It is a public class that implements Button. The only method of WindowsButton is paint (void). No methods call paint and paint calls no methods.",0.19532064008635686,0.8176692,0.85392255,0.8354027
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory/Products,WindowsCheckBox.java,The WindowsCheckBox class is a Concrete Product implementing the Checkbox interface to provide a specific version of a checkbox tailored for the Windows platform.,"abstract_factory: WindowsCheckBox acts as a product for GUIFactory, which overrides paint method of CheckBox. It is a public class that implements CheckBox. The only method of WindowsCheckBox is paint (void). No methods call paint and paint calls no methods.   memento: WindowsCheckBox acts as a memento, which paints. It is a public class that implements CheckBox. The only method of WindowsCheckBox is paint (void). No methods call paint and paint calls no methods.   factory_method: WindowsCheckBox acts as a product for WindowsOSFactory, which overrides paint method of CheckBox. It is a public class that implements CheckBox. The only method of WindowsCheckBox is paint (void). No methods call paint and paint calls no methods.",0.241564749532561,0.8056178,0.8527868,0.8285315
AbdurRKhalid,AbdurRKhalid/Creational/Abstract Factory,Test.java,The Test class serves as a Client demonstrating the creation and usage of a Windows specific application interface,Test does not have any design pattern.  It is a public class. The only method of Test is main (void). No methods call main and main calls no methods.,0.1532651559751268,0.84484696,0.85816115,0.851452
AbdurRKhalid,AbdurRKhalid/Creational/Factory Method/Client,Test.java,The Test class is a Client demonstrating how to create and utilize a specific dialog that generates buttons.,"Test does not have any design pattern.  It is a public class. The only method of Test is main (void). No methods call main and main calls 3 methods : writeData method of class DataSourceDecorator, readData method of class DataSource and readData method of class DataSourceDecorator.",0.1664872637526923,0.8199971,0.86211026,0.8405265
AbdurRKhalid,AbdurRKhalid/Creational/Factory Method/ConcreteCreator,HtmlDialog.java,The HtmlDialog class is a Concrete Creator extending the Dialog class to produce HTML specific buttons.,"memento: HtmlDialog acts as an originator for memento Button, which creates a Button Button to. It is a public class that extends Dialog. The only method of HtmlDialog is createButton (Button). No methods call createButton and createButton calls no methods.",0.18063154146080063,0.8560357,0.88355845,0.8695794
AbdurRKhalid,AbdurRKhalid/Creational/Factory Method/ConcreteCreator,WindowsDialog.java,The WindowsDialog class is a Concrete Creator extending the Dialog class to produce Windows specific buttons.,"memento: WindowsDialog acts as an originator for memento Button, which creates a Button Button to. It is a public class that extends Dialog. The only method of WindowsDialog is createButton (Button). No methods call createButton and createButton calls no methods.",0.18063154146080063,0.8508015,0.8781907,0.86427915
AbdurRKhalid,AbdurRKhalid/Creational/Factory Method/ConcreteProduct,HtmlButton.java,"The HtmlButton class is a Concrete Product, implementing the Button interface to provide an HTML specific button functionality.","memento: HtmlButton acts as a memento, which ons Click, which ons Click. It is a public class that implements Button. The 2 methods of HtmlButton are render (void) and onClick (void). No methods call render and render calls only one method : onClick method of class HtmlButton. Only one method ( render method of class HtmlButton ) calls onClick and onClick calls no methods.   factory_method: HtmlButton acts as a product for Dialog, which overrides render method of Button, onClick method of Button. It is a public class that implements Button. The 2 methods of HtmlButton are render (void) and onClick (void). No methods call render and render calls only one method : onClick method of class HtmlButton. Only one method ( render method of class HtmlButton ) calls onClick and onClick calls no methods.",0.15206787239074543,0.79573786,0.8548087,0.8242162
AbdurRKhalid,AbdurRKhalid/Creational/Factory Method/ConcreteProduct,WindowsButton.java,"The WindowsButton class is a Concrete Product, implementing the Button interface to provide a Windows specific button functionality.","memento: WindowsButton acts as a memento, which ons Click, which ons Click. It is a public class that implements Button. The 2 methods of WindowsButton are render (void) and onClick (void). No methods call render and render calls only one method : onClick method of class WindowsButton. Only one method ( render method of class WindowsButton ) calls onClick and onClick calls no methods.   factory_method: WindowsButton acts as a product for Dialog, which overrides render method of Button, onClick method of Button. It is a public class that implements Button. The 2 methods of WindowsButton are render (void) and onClick (void). No methods call render and render calls only one method : onClick method of class WindowsButton. Only one method ( render method of class WindowsButton ) calls onClick and onClick calls no methods.",0.15737726818536632,0.7889606,0.8506709,0.8186544
AbdurRKhalid,AbdurRKhalid/Creational/Factory Method/Factory,Dialog.java,The Dialog class is an Abstract Creator providing a template for creating dialogs that can generate buttons.,"memento: Dialog acts as an originator for memento Button, which is inherited by, which creates a Button Button to. It is a public abstract class. The 2 methods of Dialog are renderWindow (void) and createButton (Button). No methods call renderWindow and renderWindow calls only one method : createButton method of class Dialog. Only one method ( renderWindow method of class Dialog ) calls createButton and createButton calls no methods.   factory_method: Dialog acts as a factory for Dialog, which overrides. Dialog acts as a factory method for Button, which is inherited by Dialog, Dialog. It is a public abstract class. The 2 methods of Dialog are renderWindow (void) and createButton (Button). No methods call renderWindow and renderWindow calls only one method : createButton method of class Dialog. Only one method ( renderWindow method of class Dialog ) calls createButton and createButton calls no methods.",0.17216885363748538,0.78759867,0.85657734,0.82064104
AbdurRKhalid,AbdurRKhalid/Creational/Factory Method/Product,Button.java,The Button interface defines a Product establishing a contract for button components that can be created by concrete creators.,"memento: Button acts as a memento, which is inherited by WindowsButton, HtmlButton, which ons Click, which ons Click. It is a public interface. The 2 methods of Button are render (void) and onClick (void). No methods call render and render calls no methods. No methods call onClick and onClick calls no methods.   factory_method: Button acts as an abstract product for Dialog, which is inherited by WindowsButton, HtmlButton. It is a public interface. The 2 methods of Button are render (void) and onClick (void). No methods call render and render calls no methods. No methods call onClick and onClick calls no methods.",0.10369357183883786,0.79138196,0.83990896,0.81492364
AbdurRKhalid,AbdurRKhalid/Behavioral/Memento/CareTaker,TextEditor.java,"This class implements the caretaker for the Memento pattern for a text editor. It uses TextWindow as the originator and TextWindowState as the memento to save and restore text state. hitSave() stores the current state, and hitUndo() restores the previously saved state.",TextEditor does not have any design pattern.  It is a public class. The 2 methods of TextEditor are hitSave (void) and hitUndo (void). No methods call hitSave and hitSave calls no methods. No methods call hitUndo and hitUndo calls no methods.,0.16507468323175395,0.8591092,0.84956,0.85430795
AbdurRKhalid,AbdurRKhalid/Behavioral/Memento/Memento,TextWindowState.java,"This class represents the Memento in the pattern. It stores the text state of a TextWindow in an immutable way, providing a getText() method to retrieve the saved content.",TextWindowState does not have any design pattern.  It is a public class. The only method of TextWindowState is getText (String). No methods call getText and getText calls no methods.,0.18814392503759936,0.88410515,0.8859485,0.88502586
AbdurRKhalid,AbdurRKhalid/Behavioral/Memento/Originator,TextWindow.java,"This class represents Memento pattern enabling saving and restoring text in a TextWindow. TextWindowState stores text snapshots, TextWindow creates and restores these states, and TextEditor acts as caretaker, providing hitSave() and hitUndo() to manage text history.","TextWindow does not have any design pattern.  It is a public class. The 3 methods of TextWindow are addText (void), save (TextWindowState) and restore (void). No methods call addText and addText calls no methods. No methods call save and save calls no methods. No methods call restore and restore calls no methods.",0.14082216478544154,0.837614,0.8528937,0.8451848
AbdurRKhalid,AbdurRKhalid/Creational/Singleton/Singleton,Singleton.java,"This class implements the Singleton pattern, ensuring only one instance exists. getInstance() creates the instance if null and returns it; the constructor is private to prevent direct instantiation. The instance holds a value string.",Singleton does not have any design pattern.  It is a public class. The only method of Singleton is getInstance (Singleton). No methods call getInstance and getInstance calls no methods.,0.2424853837783683,0.8802718,0.8618111,0.87094367
AbdurRKhalid,AbdurRKhalid/Creational/Singleton/Client,Test.java,"The test class is a client. and makes two calls to getInstance() with different values return the same instance, proving only one object exists.",Test does not have any design pattern.  It is a public class. The only method of Test is main (void). No methods call main and main calls only one method : convertVideo method of class VideoConversionFacade.,0.21905581551086623,0.83869994,0.8560308,0.84727675
AbdurRKhalid,AbdurRKhalid/Structural/Adapter/Adapte,SquarePeg.java,"SquarePeg is an adaptee that represents a square peg with a given width. It provides methods to retrieve the width and calculate its area (getSquare()), which returns the square of the width using Math.pow().","adapter: SquarePeg acts as an adaptee for adapter SquarePegAdapter, which adapts to RoundPeg, which adapts to RoundPeg. It is a public class. The 2 methods of SquarePeg are getWidth (double) and getSquare (double). No methods call getWidth and getWidth calls no methods. No methods call getSquare and getSquare calls no methods.",0.22284620121502927,0.8568947,0.8583659,0.8576297
AbdurRKhalid,AbdurRKhalid/Structural/Adapter/Adapter,SquarePegAdapter.java,"SquarePegAdapter is an adapter that adapts a SquarePeg to behave like a RoundPeg. It overrides getRadius() to calculate an equivalent radius for the square peg using the formula based on its width, enabling compatibility with round hole logic in the Adapter pattern.","adapter: SquarePegAdapter acts as an adapter, which adapts to RoundPeg. It is a public class that extends RoundPeg. The only method of SquarePegAdapter is getRadius (double). No methods call getRadius and getRadius calls no methods.",0.31110299651349355,0.88067603,0.86945367,0.8750289
AbdurRKhalid,AbdurRKhalid/Structural/Adapter/Target,RoundHole.java,"RoundHole is a target adapter representing a circular hole with a fixed radius. It provides getRadius() and a fits() method to check if a given RoundPeg can fit inside by comparing their radii, forming part of the Adapter pattern for compatibility between round and square pegs.",RoundHole does not have any design pattern.  It is a public class. The 2 methods of RoundHole are getRadius (double) and fit (boolean). No methods call getRadius and getRadius calls no methods. No methods call fit and fit calls no methods.,0.17509995116178048,0.8628442,0.8459947,0.8543364
AbdurRKhalid,AbdurRKhalid/Structural/Adapter/Target,RoundPeg.java,"RoundPeg is a target adapter that represents a circular peg with a radius. It provides constructors for initialization and a getRadius() method to retrieve the radius, serving as the target interface in the Adapter pattern for compatibility with RoundHole.","adapter: RoundPeg acts as a target for adapter SquarePegAdapter, which adapts to RoundPeg. It is a public class. The only method of RoundPeg is getRadius (double). No methods call getRadius and getRadius calls no methods.",0.333366574185854,0.88228077,0.87580526,0.8790311
AbdurRKhalid,AbdurRKhalid/Structural/Adapter,Test.java,"This test demonstrates is a client. A RoundHole checks if a RoundPeg fits, then uses SquarePegAdapter to adapt square pegs for compatibility. The output confirms that a small square peg fits while a large one does not, validating the adapter’s role in bridging incompatible interfaces.",Test does not have any design pattern.  It is a public class. The only method of Test is main (void). No methods call main and main calls no methods.,0.10327909780538716,0.83591336,0.8245439,0.8301897
AbdurRKhalid,AbdurRKhalid/Structural/Decorator/Component,DataSource.java,"DataSource is an Decorator interface defining two methods: writeData(String data) for storing data and readData() for retrieving it. It serves as the base component in the Decorator pattern, allowing flexible extension of data handling functionality.",DataSource does not have any design pattern.  It is a public interface. The 2 methods of DataSource are writeData (void) and readData (String). No methods call writeData and writeData calls no methods. Only one method ( main method of class Test ) calls readData and readData calls no methods.,0.24509741777431387,0.878562,0.87390643,0.87622803
