Project,Folder Name,File Name,Summary
"AbdurRKhalid","AbstractFactory","WindowsOSFactory.java","The `WindowsOSFactory` class implements the `GUIFactory` interface, creating Windows-specific `Button` and `CheckBox` components as part of the Abstract Factory pattern."
"AbdurRKhalid","AbstractFactory","WindowsButton.java","The WindowsButton class implements the Button interface, responsible for painting Windows-style buttons, collaborating with the Abstract Factory pattern."
"AbdurRKhalid","AbstractFactory","Button.java","The `Button` interface defines a contract for painting buttons, collaborating with abstract factory pattern components to create platform-specific button instances."
"AbdurRKhalid","AbstractFactory","Test.java","The `Test` class serves as an entry point, invoking the `Application.paint` method to initiate the application's painting process."
"AbdurRKhalid","AbstractFactory","CheckBox.java","The `CheckBox` interface defines a contract for painting a checkbox, collaborating within an abstract factory pattern to create UI components."
"AbdurRKhalid","AbstractFactory","MacOSFactory.java","The MacOSFactory class implements the GUIFactory interface, creating MacOS-specific Button and CheckBox components as part of the Abstract Factory pattern."
"AbdurRKhalid","AbstractFactory","MacOSButton.java","The MacOSButton class implements the Button interface, responsible for painting MacOS-specific button representations, collaborating within the Abstract Factory pattern."
"AbdurRKhalid","AbstractFactory","WindowsCheckBox.java","The WindowsCheckBox class implements the CheckBox interface, responsible for painting a Windows-style checkbox, collaborating within the Abstract Factory pattern."
"AbdurRKhalid","AbstractFactory","Application.java","The `Application` class is responsible for creating and painting GUI components, collaborating with `Button` and `CheckBox` through a `GUIFactory`."
"AbdurRKhalid","AbstractFactory","MacOSCheckBox.java","The MacOSCheckBox class implements the CheckBox interface, responsible for painting checkboxes in a MacOS-specific manner, adhering to the Abstract Factory pattern."
"AbdurRKhalid","AbstractFactory","GUIFactory.java","The `GUIFactory` interface defines a contract for creating GUI components, specifically `Button` and `CheckBox` objects, within the Abstract Factory design pattern."
"AbdurRKhalid","Adapter","RoundHole.java","The RoundHole class represents a hole with a specific radius, collaborating with RoundPeg to determine if it fits."
"AbdurRKhalid","Adapter","RoundPeg.java","The `RoundPeg` class represents a peg with a radius, providing access to its size. It collaborates with the adapter pattern context."
"AbdurRKhalid","Adapter","SquarePegAdapter.java","The SquarePegAdapter adapts SquarePeg to fit RoundPeg, implementing the Adapter pattern by delegating to the contained SquarePeg."
"AbdurRKhalid","Adapter","Test.java","The `Test` class serves as the entry point, executing the main method to initiate the program without explicit collaborators or design patterns."
"AbdurRKhalid","Adapter","SquarePeg.java","The SquarePeg class represents a square object with a specified width, providing methods to retrieve its width and area. It participates in the Adapter pattern, suggesting it may need to adapt to a different interface."
"AbdurRKhalid","Decorator","DataSourceDecorator.java","The `DataSourceDecorator` class implements the `DataSource` interface, decorating a wrapped `DataSource` instance to modify or extend its behavior."
"AbdurRKhalid","Decorator","EncryptionDecorator.java","The EncryptionDecorator class extends DataSourceDecorator, enhancing data security by encoding and decoding data through its writeData and readData methods."
"AbdurRKhalid","Decorator","Test.java","The `Test` class serves as an entry point, invoking data operations through `DataSource` and `DataSourceDecorator` without employing explicit design patterns."
"AbdurRKhalid","Decorator","CompressionDecorator.java","The CompressionDecorator class extends DataSourceDecorator, managing data compression with a configurable level, collaborating with DataSource and utilizing compression/decompression methods."
"AbdurRKhalid","Decorator","FileDataSource.java","The `FileDataSource` class implements the `DataSource` interface, managing data storage and retrieval with a specified name, without explicit design patterns."
"AbdurRKhalid","Decorator","DataSource.java","The `DataSource` interface defines a contract for writing and reading data, serving as a base for data handling operations."
"AbdurRKhalid","Facade","Codec.java","The `Codec` interface defines a public contract for encoding and decoding operations, without specifying collaborators or design patterns."
"AbdurRKhalid","Facade","OggCompressionCodec.java","The OggCompressionCodec class implements the Codec interface, providing OGG compression functionality with a predefined type string."
"AbdurRKhalid","Facade","Test.java","The `Test` class serves as an entry point, invoking the `VideoConversionFacade` to convert videos, without employing explicit design patterns."
"AbdurRKhalid","Facade","VideoConversionFacade.java","The VideoConversionFacade class orchestrates video conversion by delegating tasks to CodecFactory, BitrateReader, and AudioMixer, acting as a simplified interface for clients."
"AbdurRKhalid","Facade","VideoFile.java","The VideoFile class encapsulates video file details, storing name and codec type, and is utilized by CodecFactory for extraction purposes."
"AbdurRKhalid","Facade","AudioMixer.java","The AudioMixer class is responsible for fixing audio in a video file, collaborating with VideoConversionFacade for video conversion tasks."
"AbdurRKhalid","Facade","CodecFactory.java","The CodecFactory class is responsible for extracting the appropriate codec from a video file, collaborating with VideoFile to obtain the codec type."
"AbdurRKhalid","Facade","MPEG4CompressionCodec.java","The MPEG4CompressionCodec class implements the Codec interface, providing MPEG-4 compression functionality with a type identifier set to ""mp4""."
"AbdurRKhalid","Facade","BitrateReader.java","The BitrateReader class provides static methods to read and convert video files, collaborating with the VideoFile and Codec classes."
"AbdurRKhalid","FactoryMethod","WindowsButton.java","The WindowsButton class implements the Button interface, rendering and handling click events specific to Windows OS, adhering to the Factory Method pattern."
"AbdurRKhalid","FactoryMethod","Button.java","The `Button` interface defines a contract for rendering and click handling, without specifying collaborators or design patterns."
"AbdurRKhalid","FactoryMethod","Test.java","The `Test` class serves as an entry point, utilizing a static `Dialog` instance to execute the main method without employing design patterns."
"AbdurRKhalid","FactoryMethod","Dialog.java","The abstract `Dialog` class defines the Factory Method pattern, creating `Button` objects and rendering windows, delegating button creation to subclasses."
"AbdurRKhalid","FactoryMethod","WindowsDialog.java","The WindowsDialog class, extending Dialog, implements the factory method pattern to create and return Button objects."
"AbdurRKhalid","FactoryMethod","HtmlDialog.java","The `HtmlDialog` class extends `Dialog` and implements the factory method pattern, creating `Button` instances via the `createButton` method."
"AbdurRKhalid","FactoryMethod","HtmlButton.java","The `HtmlButton` class, implementing the `Button` interface, renders HTML buttons and handles click events, adhering to the Factory Method pattern."
"AbdurRKhalid","Memento","TextEditor.java","The TextEditor class manages text editing operations, collaborating with TextWindow and TextWindowState to handle save and undo functionalities."
"AbdurRKhalid","Memento","TextWindow.java","The TextWindow class manages text content via a StringBuilder, offering methods to add, save, and restore text using the TextWindowState collaborator."
"AbdurRKhalid","Memento","TextWindowState.java","The TextWindowState class encapsulates the state of a text window, storing the text content and providing access to it."
"AbdurRKhalid","Observer","EmailNotificationListener.java","The `EmailNotificationListener` class, implementing `EventListener`, notifies via email using the Observer pattern, collaborating with `File` and `String` for event updates."
"AbdurRKhalid","Observer","EventManager.java","The `EventManager` class manages event listeners using a map, collaborating with `EventListener` and `File`; it implements the Observer pattern."
"AbdurRKhalid","Observer","EventListener.java","The `EventListener` interface defines an observer pattern role, requiring implementing classes to handle updates with event types and files."
"AbdurRKhalid","Observer","Editor.java","The Editor class manages file operations, utilizing an EventManager for event handling and maintaining a private File reference."
"AbdurRKhalid","Observer","LogOpenListener.java","The `LogOpenListener` class, implementing `EventListener`, observes file events and logs them to a specified file, adhering to the Observer pattern."
"AbdurRKhalid","Singleton","Test.java","The `Test` class serves as an entry point, executing the `main` method to initiate the program. It lacks explicit collaborators and design patterns."
"AbdurRKhalid","Singleton","Singleton.java","The Singleton class manages a single instance of itself, storing a string value, and provides controlled access via a static getInstance method."
"AbdurRKhalid","Visitor","ComputerPart.java","The `ComputerPart` interface defines an acceptance method for a `ComputerPartVisitor`, facilitating the Visitor pattern's operation."
"AbdurRKhalid","Visitor","Monitor.java","The `Monitor` class, extending `ComputerPart`, implements the Visitor pattern by accepting a `ComputerPartVisitor` to handle operations via the `accept` method."
"AbdurRKhalid","Visitor","Mouse.java","The `Mouse` class, extending `ComputerPart`, implements the Visitor pattern by accepting a `ComputerPartVisitor` to handle operations."
"AbdurRKhalid","Visitor","ComputerPartDisplayVisitor.java","The `ComputerPartDisplayVisitor` class, implementing the Visitor pattern, extends `ComputerPartVisitor` and overrides methods to visit and display various computer parts like `Computer`, `Mouse`, `Keyboard`, and `Monitor`."
"AbdurRKhalid","Visitor","Test.java","The `Test` class serves as the entry point, invoking the `accept` method on `ComputerPart` to initiate visitor pattern operations."
"AbdurRKhalid","Visitor","Keyboard.java","The `Keyboard` class, extending `ComputerPart`, implements the Visitor Pattern by accepting a `ComputerPartVisitor` to handle operations, delegating to `visit`."
"AbdurRKhalid","Visitor","Computer.java","The `Computer` class, extending `ComputerPart`, implements the Visitor pattern by accepting a `ComputerPartVisitor` to traverse its `ComputerPart` components."
"AbdurRKhalid","Visitor","ComputerPartVisitor.java","The `ComputerPartVisitor` interface defines a visitor pattern, accepting visits from `Computer`, `Mouse`, `Keyboard`, and `Monitor` components to perform operations on them."
"JamesZBL","abstract-factory","YoungSailor.java","The `YoungSailor` class, implementing the `Sailor` interface, provides a description of a young sailor and participates in abstract factory and observer patterns."
"JamesZBL","abstract-factory","OldShip.java","The OldShip class implements the Ship interface, providing a description of an old ship and participating in abstract factory and observer patterns."
"JamesZBL","abstract-factory","YoungTeamFactory.java","The YoungTeamFactory class, implementing the TeamFactory interface, creates young team members: Ship, Captain, and Sailor, fulfilling the Abstract Factory pattern."
"JamesZBL","abstract-factory","YoungCaptain.java","The YoungCaptain class implements the Captain interface, providing a description of a young captain and participating in abstract factory and observer patterns."
"JamesZBL","abstract-factory","Captain.java","The `Captain` interface, extending `Member`, defines roles within an abstract factory and observer pattern context, collaborating with other `Member` types."
